name,size,modified
BF916.tif,196390.4 kb,"Tue, 16 Oct 2007 19:08:38 GMT"
BF787.tif,212466.5 kb,"Wed, 01 Oct 2008 14:40:48 GMT"
BF396.tif,171904.0 kb,"Wed, 15 Oct 2008 18:49:32 GMT"
BF986.tif,199853.2 kb,"Wed, 06 Jun 2007 15:09:40 GMT"
BF823.tif,196223.0 kb,"Wed, 17 Sep 2008 19:42:30 GMT"
BF1044.tif,151813.6 kb,"Tue, 02 Dec 2008 16:19:56 GMT"
BF970.tif,207633.9 kb,"Tue, 09 Sep 2008 18:39:26 GMT"
BF869.tif,188895.5 kb,"Thu, 30 Oct 2008 17:41:32 GMT"
BF935.tif,204863.1 kb,"Tue, 27 Nov 2007 20:27:54 GMT"
BF254.tif,209584.9 kb,"Thu, 23 Oct 2008 13:27:16 GMT"
A346.tif,91933.0 kb,"Sat, 04 Sep 2010 15:34:35 GMT"
A143.tif,90677.3 kb,"Fri, 03 Sep 2010 18:40:37 GMT"
01.13.01.tif,88463.3 kb,"Fri, 29 Jul 2011 13:47:58 GMT"
01.23.44.tif,40642.0 kb,"Thu, 29 Apr 2010 18:37:03 GMT"
01.18.28.tif,41054.9 kb,"Thu, 29 Apr 2010 15:09:37 GMT"
BF2057.tif,168807.8 kb,"Thu, 14 Jun 2007 15:50:10 GMT"
A222.tif,91994.2 kb,"Wed, 30 Mar 2011 09:58:49 GMT"
A173.tif,87429.3 kb,"Tue, 29 Mar 2011 13:47:13 GMT"
01.13.65.tif,55104.1 kb,"Wed, 05 May 2010 14:05:02 GMT"
01.21.01.tif,61705.7 kb,"Wed, 19 May 2010 14:53:59 GMT"
BF455.tif,74816.0 kb,"Tue, 30 Sep 2008 14:34:10 GMT"
A272.tif,116119.2 kb,"Tue, 22 Mar 2011 20:27:31 GMT"
BF2061.tif,169533.2 kb,"Wed, 30 May 2007 20:51:22 GMT"
BF902.tif,178105.1 kb,"Tue, 18 Dec 2007 21:14:40 GMT"
BF140.tif,736460.1 kb,"Wed, 19 Dec 2007 18:21:56 GMT"
01.09.54.tif,78456.0 kb,"Fri, 29 Jul 2011 13:27:00 GMT"
01.07.04.tif,40870.3 kb,"Tue, 27 Sep 2011 02:38:42 GMT"
BF69.tif,212140.9 kb,"Tue, 28 Oct 2008 13:22:34 GMT"
01.18.37.tif,23090.1 kb,"Thu, 29 Apr 2010 17:59:57 GMT"
BF841.tif,170060.8 kb,"Tue, 09 Dec 2008 13:48:04 GMT"
BF1071.tif,228862.7 kb,"Thu, 14 Jun 2007 18:33:36 GMT"
BF1074.tif,211126.0 kb,"Wed, 13 Jun 2007 19:02:12 GMT"
BF352.tif,170795.0 kb,"Mon, 18 Jun 2007 19:41:28 GMT"
BF353.tif,163328.8 kb,"Thu, 14 Jun 2007 16:04:46 GMT"
01.12.34.tif,103194.6 kb,"Fri, 16 Jul 2010 19:28:26 GMT"
BF936.tif,82491.2 kb,"Sun, 03 Jul 2011 13:16:14 GMT"
01.11.39ab.tif,116877.5 kb,"Thu, 21 Jul 2016 06:25:04 GMT"
01.09.33ab.tif,80195.0 kb,"Mon, 04 Jul 2011 08:21:28 GMT"
01.12.13ab.tif,113385.3 kb,"Fri, 29 Jul 2011 13:50:39 GMT"
01.18.82ab.tif,41138.1 kb,"Wed, 27 Jan 2010 02:28:38 GMT"
BF1196.tif,222337.5 kb,"Mon, 04 Jun 2007 20:24:08 GMT"
BF828.tif,197027.3 kb,"Mon, 03 Nov 2008 14:07:46 GMT"
BF791.tif,143133.8 kb,"Thu, 11 Sep 2008 13:36:00 GMT"
BF885.tif,196273.5 kb,"Wed, 15 Oct 2008 13:02:06 GMT"
BF92.tif,139770.7 kb,"Thu, 11 Sep 2008 12:51:38 GMT"
BF123.tif,99815.1 kb,"Mon, 22 Sep 2008 19:43:24 GMT"
BF344.tif,198137.5 kb,"Tue, 12 Jun 2007 17:35:16 GMT"
A338.tif,94154.2 kb,"Sat, 04 Sep 2010 14:02:35 GMT"
